Date,AGG,EEM,EWJ,FEZ,GC=F,HG=F,IWM,LQD,SHY,TIP,TLT,VNQ,XLE,XLF,^GSPC,^IRX,^NDX
2004-01-02,49.911434173583984,12.069788932800293,27.436574935913086,17.436967849731445,,,41.80055236816406,44.513607025146484,53.919124603271484,50.89521408081055,40.42066192626953,,7.419008255004883,14.592934608459473,1108.47998046875,0.9020000100135803,1463.5699462890625
2004-01-09,50.712379455566406,12.405420303344727,27.521442413330078,17.808502197265625,426.3999938964844,1.0994999408721924,42.66275405883789,45.4380989074707,54.16811752319336,51.38161849975586,41.62223434448242,,7.534843921661377,14.717626571655273,1121.8599853515625,0.8420000076293945,1520.4599609375
2004-01-16,50.707462310791016,12.143254280090332,27.71942901611328,17.674741744995117,406.70001220703125,1.090999960899353,43.85716247558594,45.73820495605469,54.16811752319336,51.69257354736328,41.938140869140625,,7.483659267425537,14.99295425415039,1139.8299560546875,0.8619999885559082,1553.6199951171875
2004-01-23,50.66324996948242,12.460156440734863,27.634580612182617,18.05617332458496,407.8999938964844,1.121500015258789,44.31254196166992,45.61650466918945,54.18779754638672,51.57725143432617,41.82805633544922,,7.74766206741333,15.122842788696289,1141.550048828125,0.8669999837875366,1531.2099609375
2004-01-30,50.41754150390625,12.092835426330566,27.323448181152344,17.649978637695312,402.20001220703125,1.1430000066757202,43.14799499511719,45.38136672973633,54.115745544433594,51.62734603881836,41.66532516479492,,7.588725566864014,15.091665267944336,1131.1300048828125,0.8970000147819519,1493.0799560546875
2004-02-06,50.6383056640625,12.187906265258789,27.125455856323242,17.94223976135254,403.6000061035156,1.1799999475479126,43.41671371459961,45.4831428527832,54.200382232666016,51.868064880371094,42.000831604003906,,7.5321502685546875,15.320243835449219,1142.760009765625,0.9070000052452087,1498.949951171875
2004-02-13,50.993045806884766,12.546592712402344,27.15373420715332,18.13047981262207,410.29998779296875,1.2445000410079956,43.53990173339844,45.996009826660156,54.33167266845703,52.299346923828125,42.20267105102539,,7.8365631103515625,15.48128604888916,1145.81005859375,0.8970000147819519,1484.469970703125
2004-02-20,50.727012634277344,12.373723030090332,26.899169921875,18.115625381469727,397.5,1.3075000047683716,43.12931823730469,45.69479751586914,54.259464263916016,51.92828369140625,41.98160934448242,,7.809624195098877,15.465703964233398,1144.1099853515625,0.9160000085830688,1482.0999755859375
2004-02-27,50.993045806884766,12.571072578430176,27.46486473083496,17.996734619140625,396.3999938964844,1.343000054359436,43.55856704711914,46.06524658203125,54.37759017944336,52.73568344116211,42.6160774230957,,7.987417697906494,15.52285385131836,1144.93994140625,0.9269999861717224,1470.3800048828125
2004-03-05,51.28250503540039,12.80947494506836,27.945716857910156,18.204788208007812,401.29998779296875,1.3380000591278076,44.599937438964844,46.50453186035156,54.43217468261719,53.347450256347656,43.26082992553711,,8.105951309204102,15.824174880981445,1156.8599853515625,0.9309999942779541,1472.989990234375
