experiment_id,config_id,run_id,semilla,pasos_totales,gamma,tau,lr_actor,lr_criticos,lr_alpha,tamano_batch,tamano_buffer,pasos_warmup,frecuencia_actualizacion,actualizaciones_por_step,reward_scale,offset_target_entropy,max_concentracion_total_extra,ventana_log_recompensa,frecuencia_log,recompensas_mean_tail,recompensas_std_tail,recompensas_last,perdida_critic1_mean_tail,perdida_critic1_std_tail,perdida_critic1_last,perdida_critic2_mean_tail,perdida_critic2_std_tail,perdida_critic2_last,perdida_actor_mean_tail,perdida_actor_std_tail,perdida_actor_last,alpha_mean_tail,alpha_std_tail,alpha_last,gap_critics_mean_tail,gap_critics_std_tail,gap_critics_last,log_prob_std_mean_tail,log_prob_std_std_tail,log_prob_std_last,concentracion_total_mean_tail,concentracion_total_std_tail,concentracion_total_last,peso_cash_mean_tail,peso_cash_std_tail,peso_cash_last,valor_final,retorno_total,cagr,volatilidad_anual,sharpe,max_drawdown
cfg_492|run=0,cfg_492,0,42,20000,0.9,0.0001,0.0001,0.0001,0.001,256,200000,2000,1,1,10000.0,0.0,10,200,1000,1.8757911965808707e-05,0.009920392595811157,0.004471431339134131,8154.937570406375,2051.6876189296495,8217.216796875,8055.171608759596,1978.9963309144364,8221.89453125,382.9541480030014,9.82708361142692,400.57318115234375,7.389056205749512,0.0,7.389056205749512,4.461814509915096,0.41841671481760245,4.648255348205566,0.8865012765965251,0.1434765999576081,0.6958603858947754,14.267819682173482,0.10652162938532123,14.192251205444336,0.07450375786332167,0.004307455537462877,0.07840485870838165,1396.4791327815688,0.39647913278156866,0.08725320700505801,0.07756813876674568,0.9515443046744416,-0.12666229616550662
cfg_346|run=0,cfg_346,0,42,20000,0.87,0.001,0.0001,0.0001,0.0005,256,200000,2000,1,1,10000.0,-1.0,10,200,1000,-4.732339241436165e-06,0.009337030883664686,0.004757304655118761,5749.879275492323,1039.819394121282,5330.6982421875,5666.078744902057,996.9709589657991,5417.525390625,506.93095338869796,22.45367922888424,546.6954956054688,3.9198774316123077,0.139399958566135,4.163339614868164,5.406509883763475,0.4130178320973876,6.203529357910156,1.4474538115220013,0.0990844195596314,1.4140286445617676,17.370069960631103,0.2358072302650033,17.529747009277344,0.07381684545860272,0.004790154645909784,0.07879795134067535,1394.0517703499338,0.39405177034993377,0.08677949267289731,0.07723899259814998,0.9495860518967684,-0.12753217734868472
cfg_488|run=0,cfg_488,0,42,20000,0.9,0.0001,5e-05,0.0005,0.001,256,200000,2000,1,1,10000.0,0.0,10,200,1000,0.00023579111040177928,0.009335826534904274,0.0034595790803714655,5013.8266228017565,700.0341694176218,4734.0244140625,4987.680016258658,686.2629283601292,4826.83154296875,398.3945759384909,10.043930888842437,412.9794006347656,7.389056205749512,0.0,7.389056205749512,20.803771504604608,1.192043036337941,19.829444885253906,1.3988667465816034,0.10052785014486637,1.2617881298065186,17.642985237233628,0.19107551091956562,17.269067764282227,0.07894232287028126,0.005483395562796758,0.07615555822849274,1387.6509527687424,0.3876509527687424,0.08552736335054179,0.07659808079144911,0.941887222979211,-0.1268990769354008
cfg_128|run=0,cfg_128,0,42,20000,0.9,0.001,0.0001,0.0005,0.001,256,200000,2000,1,1,10000.0,-1.0,5,200,1000,0.00010242226037135192,0.009341508197589783,0.0007288929038093104,4253.420192743971,1215.258191125778,3450.97412109375,4343.407625988297,1238.1245155180172,3872.025146484375,1264.3662932086531,28.288588636868333,1306.3310546875,7.176951940483022,0.16041904464665716,6.98483943939209,22.066321359489248,1.290345435101384,21.885753631591797,1.1981997174478183,0.06401339009903409,1.2053874731063843,17.935482751925257,0.02534572936608704,17.941875457763672,0.0710884161383033,0.005037884401889959,0.06911873072385788,1400.7380068111063,0.4007380068111064,0.08808286260613274,0.07997383087749824,0.9348094590757929,-0.12688317619476153
cfg_292|run=0,cfg_292,0,42,20000,0.9,0.0001,5e-05,0.0001,0.001,256,200000,2000,1,1,2000.0,-1.0,10,200,1000,-4.0512843572244245e-05,0.0093185682919583,-0.0013188031371102141,252.63141799335963,50.144575139197656,210.37228393554688,248.9968137244516,48.46391800836279,215.14776611328125,47.93069093752607,1.4816166829874706,50.86743927001953,0.9195215397746923,0.022134623740556976,0.9378736615180969,1.6944547126385494,0.12118356280744362,1.875152587890625,1.4002107308926346,0.0921361405190064,1.417225956916809,17.935618276048565,0.1837847984938796,17.974842071533203,0.07605588509737252,0.004783436885886259,0.0821114256978035,1388.6789505004433,0.3886789505004433,0.08572875187451268,0.07786547365129723,0.9302300030835688,-0.1219517521377842
cfg_344|run=0,cfg_344,0,42,20000,0.87,0.001,5e-05,0.0005,0.001,256,200000,2000,1,1,10000.0,-1.0,10,200,1000,0.0002793623662233459,0.009856430544115984,0.004832741071766753,4170.372140066965,853.8125689670039,3635.1162109375,4288.156608746558,859.117730466306,3627.19970703125,1078.8327781442965,22.53650951519003,1110.757568359375,7.389056205749512,0.0,7.389056205749512,22.102042601805664,1.2183740871720443,20.914356231689453,1.4188758741870264,0.09013182607082267,1.3887492418289185,19.13686683359388,0.1543756367369967,19.146512985229492,0.06597231954375955,0.0045752651750144546,0.06501114368438721,1407.8278494596573,0.4078278494596572,0.0894598250237888,0.08191754576849691,0.9300139418380249,-0.13388502353102827
cfg_122|run=0,cfg_122,0,42,20000,0.9,0.001,0.0001,0.0001,0.0005,256,200000,2000,1,1,10000.0,-1.0,5,200,1000,0.00012112405918113292,0.009586499118533806,0.00039438416441556776,6166.44897128463,1274.3975952633234,7769.5966796875,6020.347843348423,1188.813864904305,7560.9970703125,525.8469387242886,12.462540361488957,549.394775390625,3.1128583763565656,0.08824552266268285,3.0749337673187256,5.306943406282025,0.42670473323639585,5.522872447967529,1.2880844001935543,0.07017953956022586,1.2877405881881714,16.852033862125413,0.09284573843433103,16.936187744140625,0.07344768643976053,0.004798303897139577,0.07573145627975464,1402.287491201174,0.4022874912011738,0.08838424290990066,0.08100635669932925,0.9273653629184676,-0.11734063058134725
cfg_121|run=0,cfg_121,0,42,20000,0.9,0.001,0.0001,0.0001,0.0005,64,200000,2000,1,1,10000.0,-1.0,5,200,1000,-0.00012195206645962911,0.008191872024869814,0.001990743339696211,5945.23103981706,2429.2940276367144,6731.14501953125,5873.483747564175,2377.5014412503365,6725.4931640625,299.3052207165816,11.619458880693752,315.7288513183594,1.7552943776518009,0.06439397893937207,1.7379127740859985,2.3901011350647217,0.3194336852214623,2.9214696884155273,1.2868072435369582,0.14382274763298092,1.42034912109375,17.087848689975793,0.29199583227158377,16.39260482788086,0.06346907436276167,0.007771749286272409,0.058849409222602844,1370.7425188196012,0.3707425188196012,0.082198781483386,0.07437667565408042,0.9264546372078153,-0.14112228065963983
cfg_244|run=0,cfg_244,0,42,20000,0.9,0.001,5e-05,0.0001,0.001,256,200000,2000,1,1,10000.0,0.0,5,200,1000,-0.00012340930050537798,0.009598098538297021,0.003580228103751144,6749.0949208319425,1778.5792294442665,6547.638671875,6726.033733715266,1776.7024970840082,6552.2275390625,1241.0385121894296,29.671801350035015,1291.392822265625,7.389056205749512,0.0,7.389056205749512,4.4434306244028905,0.32853594744852477,4.774049758911133,0.6101895883102443,0.0875671701536828,0.5560353994369507,13.845096125176179,0.07916371911482568,13.920039176940918,0.07726234214129213,0.004378790457117138,0.08174091577529907,1387.598140707641,0.387598140707641,0.08551701425470903,0.07809173348998363,0.9252307956137518,-0.12745935521607576
cfg_482|run=0,cfg_482,0,42,20000,0.9,0.0001,5e-05,0.0001,0.0005,256,200000,2000,1,1,10000.0,0.0,10,200,1000,-5.4336034065659916e-05,0.009019159925327036,0.0025445889479145103,6853.46750621923,1214.8823028097781,6468.515625,6785.320797717269,1190.0472160035854,6584.2119140625,379.2896932563731,9.725365257033742,395.4429626464844,7.389056205749512,0.0,7.389056205749512,4.356410280948328,0.38287642553781276,4.829864501953125,0.6208671067840108,0.1146128221062946,0.46174171566963196,13.957103736123669,0.09179788665246477,13.915042877197266,0.07311841316411746,0.004166523970480398,0.07609519362449646,1379.430979311298,0.379430979311298,0.08391300527257894,0.07653772517806984,0.9231314248384623,-0.1257696928944313
