Date,AGG,EEM,EWJ,EWP,FEZ,GC=F,IWM,SHY,SI=F,TLT,^GSPC,^NDX
2004-04-01,0.0004818778709767546,0.008148343306000116,0.0110396424256618,0.008504892711061363,0.01920315447823251,0.0011701381097213304,0.010969498094740349,-0.0012071221738549909,0.025579646167114944,-0.003274107318341768,0.005292159734452184,0.010296046448176721
2004-04-02,-0.009156729586810908,0.010003870611996701,0.008189385962334095,0.000351148971530435,0.007707781560803761,-0.014492711235077338,0.012701013295618457,-0.0035044951290783555,0.0008600527749005327,-0.024744292392394285,0.008514634970242296,0.025515805502630995
2004-04-05,-0.006129079410187588,0.00699486407058969,0.0036102161814732803,-0.0010535305515925186,-0.001699569851472127,-0.014705911094102242,0.0029062209418080354,-0.000970251175057113,-0.004664879356568341,-0.007841479677813235,0.007671930746608657,0.012125039050539854
2004-04-06,0.002838441541627823,0.005557417994475955,-0.004496354833813387,-0.0007034726843198058,-0.009364529245677322,0.008425613989951453,-0.012173691868494041,0.0012139393791428255,0.012703582065747065,0.005463522171947677,-0.0020945376829524243,-0.009805312430224311
2004-04-07,-0.002440045190892026,-0.0035923903932369994,-0.009033448539813027,0.009148706047333421,0.003151237618369551,0.009310083440698502,0.007545460412926586,0.00024210222708886953,-0.0031664866017534488,-0.0023126371301287474,-0.006645419328032753,-0.007779961876217101
2004-04-08,0.0005869384073411421,0.0008317704284241945,-0.004557897805179345,0.0006969857597654006,-0.009709103146647524,-0.006859020766822765,-0.008903500781670348,0.0,-0.012217516963109687,-0.0028968406286608017,-0.001060983031335394,0.0023955092726521965
2004-04-12,-0.00029325963170390157,0.007703295200257365,0.021061971690783388,0.004878500764905924,0.008361889914945575,0.0004763329600823152,0.0026028989343376274,-0.0009693620267846592,-0.007421202143921168,-0.0036021404286125103,0.005160977741120565,0.007014455558570498
2004-04-13,-0.001760598047791384,-0.011658739922573602,-0.018833497742630434,-0.015256747931646886,-0.017157625759133266,-0.031183065730038817,-0.023279147070538575,-0.0013348041117280385,-0.07227407781174688,-0.010847220355911569,-0.013761797448120672,-0.015408507082897982
2004-04-14,-0.002940430408088557,-0.014744931733630229,-0.01828170445146937,-0.003873451102509362,-0.00494563710982554,-0.017690447683123445,-0.003086775442412204,-0.0017010867883332503,-0.059771680510528946,-0.0008244882408124932,-0.0011243603261952284,0.0018874784691615965
2004-04-15,-0.0014739492225470663,-0.008302148771652473,-0.013966831561200599,0.00035356341192871454,0.004385697902848706,-0.005252565407843246,-0.007739431604456892,0.0006088367381948956,0.010428564889090497,-0.005901532649640662,0.0005938128552476218,-0.010984971221249862
2004-04-16,0.002756980140943721,0.007403154026081049,0.013220415372690253,0.01095431118122936,0.0026201969207151343,0.008297680894339132,0.0076267217779169005,0.0013379809755633687,0.009472630099757628,0.0037992324707909475,0.005111459290916498,-0.007119046850344146
2004-04-19,-0.0012773336017922743,0.0016960381390391799,-0.017707509603214988,-0.004544161432750604,0.005807145742805719,-0.0009974910136767434,0.00739722934117526,-0.0012152365080818628,0.00910364964088628,-0.0021292455270129906,0.001066411324702976,0.016852249656717833
2004-04-20,-0.0032426281099884324,-0.00874739157913651,0.005692385105776632,-0.015449303241387047,-0.007794782851699544,-0.007239125941837843,-0.022114119107474295,-0.0023098033765683867,-0.03677999573791624,-0.009125131734947778,-0.015556974441883087,-0.02482555347854165
2004-04-21,-0.00236618700431801,-0.007400821149209369,0.007547523179901594,-0.0032096736930214975,-0.010473797623411829,-0.017349821982078684,0.016327902791375415,0.0001210329824359313,-0.11167148256160497,0.00490369026671611,0.005312293767880227,0.009819740491212148
2004-04-22,0.003656760051135244,-0.0002870730765781593,0.01123571952493152,0.008944451979600032,0.020287978812609797,0.006397134283751216,0.013745293495676103,0.0014627555713386808,-0.023033284548727995,0.005950436196007658,0.014091476992293517,0.023769643215587388
2004-04-23,-0.0019703909230869288,0.007458522551469393,-0.006481237858176336,-0.004609848590330978,-0.00778086232890729,0.004576705737134201,-0.002118476405714942,-0.002069034974482964,0.022414118243902825,-0.005678399083939412,0.0005876868258882784,0.0077482394921744024
2004-04-26,-0.0002952132407783026,-0.014237002875933658,-0.0009323711065760687,0.0035622711064908774,-0.0043571820424699315,0.0022778888448018453,0.0021229738757808647,0.0001231302319366634,0.0016239410351128747,0.0016658517686758412,-0.004444981937210768,-0.01100859737827009
2004-04-27,0.002466804765630437,-0.005314629297760276,-0.008395208162300438,0.007454933316958456,0.00816855953428175,0.006565671978574716,-0.002542206206597397,0.0012184316474883605,0.010051847535189617,0.0038009175313711285,0.00227202802931159,-0.0007159993872285497
2004-04-28,-0.004627272255258719,-0.02863276593198716,-0.030103740070142937,-0.027484118119134093,-0.02285871167850151,-0.033115935787525363,-0.020900466901393577,-0.0020692833371982466,-0.058266438999248105,-0.009348605728970671,-0.013794757425861004,-0.01787122545899622
2004-04-29,-0.0028678248449478527,-0.03294477597004486,-0.0029096872630691717,-0.0072465677394008,-0.004145788048377619,0.0031136798807360755,-0.019871524391941175,-0.000123009232022242,-0.008010896626956199,-0.004898671645110708,-0.0075908262326582765,-0.014913693116031967
2004-04-30,-0.0002979332136082702,-0.021268867216693632,-0.013618427547518741,0.004744521907931842,-0.006244684964381797,0.0010346453444629589,-0.016290786922219413,0.0004884397893856196,0.04432987790265397,0.004082601627541926,-0.005916172812081788,-0.02095908807499014
2004-05-03,-0.0014923884769989515,0.010044468378167748,-0.0009862889804767017,0.007265073021947455,0.010173707395710885,0.0,0.013140437665704718,0.0004400420708061681,-0.010200768996013854,0.0012602932672340916,0.009202511475578934,0.009940382097782585
2004-05-04,0.0017937710211701763,0.019575877113328977,0.015794605688699503,0.009736587945537334,0.008589989219986327,0.01136949327256942,0.005596438904464041,-0.0002444149463042278,0.0034907556521770466,-0.00683263379244492,0.0018434693927933399,0.00481876230371836
2004-05-05,-0.0012937763737908003,0.0024536810739308468,0.013605519300092572,0.015714532038705986,0.021439017398394045,0.005109862113408692,0.004417240543004963,-0.0003665011741181834,0.011098212733502644,-0.0027770040383559014,0.0017685502053459423,0.004437110110151021
2004-05-06,-0.0030872668128663072,-0.02074410656693071,-0.031639664526895594,-0.018635860630252243,-0.030189593256648384,-0.01372647173427588,-0.01460029937344376,-0.0002452675078845612,-0.046690747046953196,-0.0026618507203658437,-0.006722993469222671,-0.008974998925362243
2004-05-07,-0.008490900357100983,-0.022495731180145362,-0.029703055571449366,-0.03260515468034131,-0.030833271739753143,-0.023969040703527678,-0.02847176890799763,-0.004154815550933333,-0.039525614613129645,-0.013106944914793028,-0.013725472577435949,-0.0066473822703991825
2004-05-10,-0.0015117189948588017,-0.048264636941286354,-0.06326534193125766,-0.017406967663792683,-0.01651827157418262,-0.0010563094828838215,-0.01773095393817614,0.000490230457754981,0.02988008770254158,-0.0023362635963293243,-0.010539689241213068,-0.006464251771863827
2004-05-11,0.002522319193350775,0.02968859407391422,0.02069720040324574,0.00866915963429582,0.012130123764983347,-0.0037007505727189027,0.02179223431166366,0.00012325644371413702,-0.042043103063347353,0.004559957174885998,0.007662407178693709,0.017743926344357064
2004-05-12,-0.0014090064076829334,0.0003263190571192176,0.013874049732233162,0.0014948722657255331,-0.009219217999710039,0.0013266118548607153,0.007596989950344524,0.000246553091781454,0.007617028327275399,-0.006626084814917443,0.0016706177430034774,-0.004965263502111017
2004-05-13,-0.00020113096542018205,-0.0026085783727085587,-0.019999889268074722,-0.013805945436278222,0.0046524418498385955,-0.00688925846731403,-0.01371723572736705,-0.0004916438539542822,0.009179200734789283,-0.0038285435666330914,-0.0007656093870251901,0.0015973720064050845
2004-05-14,0.00020117142722364534,-0.02634818758547275,-0.013963607096403208,0.0030269921246921516,-0.0009258947390392569,0.005869829985817532,-0.0038682930718328956,0.0015945512028501252,0.020331785802396585,0.008183020543713226,-0.0006749026612674625,-0.012165769746591448
