Date,^IRX
2004-12-31,0.021819999217987062
2005-01-07,0.022769999504089356
2005-01-14,0.02319999933242798
2005-01-21,0.023020000457763673
2005-01-28,0.024070000648498534
2005-02-04,0.02421999931335449
2005-02-11,0.0249399995803833
2005-02-18,0.025520000457763672
2005-02-25,0.026749999523162843
2005-03-04,0.02691999912261963
2005-03-11,0.02691999912261963
2005-03-18,0.027420001029968263
2005-03-25,0.027699999809265137
2005-04-01,0.027269999980926513
2005-04-08,0.027119998931884767
2005-04-15,0.027239999771118163
2005-04-22,0.028580000400543214
2005-04-29,0.028369998931884764
2005-05-06,0.02802000045776367
2005-05-13,0.02756999969482422
2005-05-20,0.028250000476837157
2005-05-27,0.028870000839233398
2005-06-03,0.02930000066757202
2005-06-10,0.029370000362396242
2005-06-17,0.029130001068115235
2005-06-24,0.03
2005-07-01,0.030899999141693116
2005-07-08,0.030950000286102296
2005-07-15,0.031779999732971194
2005-07-22,0.03292999982833862
2005-07-29,0.033320000171661375
2005-08-05,0.03437000036239624
2005-08-12,0.03433000087738037
2005-08-19,0.03427999973297119
2005-08-26,0.03467000007629394
2005-09-02,0.03377000093460083
2005-09-09,0.03397000074386597
2005-09-16,0.034089999198913576
2005-09-23,0.03390000104904175
2005-09-30,0.034700000286102296
2005-10-07,0.03532999992370606
2005-10-14,0.0370199990272522
2005-10-21,0.037650001049041745
2005-10-28,0.03825000047683716
2005-11-04,0.03865000009536743
2005-11-11,0.03871999979019165
2005-11-18,0.03911999940872193
2005-11-25,0.03851999998092651
2005-12-02,0.03891999959945679
2005-12-09,0.038420000076293946
2005-12-16,0.03832000017166138
2005-12-23,0.03894999980926514
2005-12-30,0.039849998950958254
2006-01-06,0.0410699987411499
2006-01-13,0.0421999979019165
2006-01-20,0.042519998550415036
2006-01-27,0.043369998931884764
2006-02-03,0.043619999885559084
2006-02-10,0.04425000190734863
2006-02-17,0.04427000045776367
2006-02-24,0.044819998741149905
2006-03-03,0.044920001029968265
2006-03-10,0.04489999771118164
2006-03-17,0.04517000198364258
2006-03-24,0.04534999847412109
2006-03-31,0.04514999866485596
2006-04-07,0.04561999797821045
2006-04-14,0.045770001411437986
2006-04-21,0.04625
2006-04-28,0.04650000095367432
2006-05-05,0.046950001716613766
2006-05-12,0.04706999778747559
2006-05-19,0.04697000026702881
2006-05-26,0.04711999893188477
2006-06-02,0.04682000160217285
2006-06-09,0.04747000217437744
2006-06-16,0.04744999885559082
2006-06-23,0.04835000038146973
2006-06-30,0.04860000133514404
2006-07-07,0.04875
2006-07-14,0.049149999618530275
2006-07-21,0.04945000171661377
2006-07-28,0.049200000762939455
2006-08-04,0.04945000171661377
2006-08-11,0.04934999942779541
2006-08-18,0.04960000038146973
2006-08-25,0.04965000152587891
2006-09-01,0.04885000228881836
2006-09-08,0.048000001907348634
2006-09-15,0.04815000057220459
2006-09-22,0.047899999618530274
2006-09-29,0.04760000228881836
2006-10-06,0.04809999942779541
2006-10-13,0.049200000762939455
2006-10-20,0.04949999809265137
2006-10-27,0.04965000152587891
2006-11-03,0.04954999923706055
2006-11-10,0.04954999923706055
2006-11-17,0.04945000171661377
2006-11-24,0.049050002098083495
2006-12-01,0.048899998664855955
2006-12-08,0.04829999923706055
2006-12-15,0.047750000953674314
2006-12-22,0.04849999904632568
2006-12-29,0.04885000228881836
2007-01-05,0.049099998474121095
2007-01-12,0.04954999923706055
2007-01-19,0.05
2007-01-26,0.04994999885559082
2007-02-02,0.05
2007-02-09,0.050149998664855956
2007-02-16,0.050300002098083496
2007-02-23,0.050399999618530276
2007-03-02,0.0496999979019165
2007-03-09,0.04949999809265137
2007-03-16,0.04885000228881836
2007-03-23,0.049250001907348635
2007-03-30,0.048949999809265135
2007-04-06,0.048949999809265135
2007-04-13,0.04869999885559082
2007-04-20,0.04835000038146973
2007-04-27,0.047950000762939454
2007-05-04,0.0475
2007-05-11,0.04715000152587891
