Date,AGG_momentum20,BIL_momentum20,EEM_momentum20,EWJ_momentum20,GLD_momentum20,HYG_momentum20,IWM_momentum20,SHY_momentum20,SLV_momentum20,TLT_momentum20,VNQ_momentum20,^GSPC_momentum20,^IBEX_momentum20,^NDX_momentum20,^STOXX50E_momentum20,AGG_momentum60,BIL_momentum60,EEM_momentum60,EWJ_momentum60,GLD_momentum60,HYG_momentum60,IWM_momentum60,SHY_momentum60,SLV_momentum60,TLT_momentum60,VNQ_momentum60,^GSPC_momentum60,^IBEX_momentum60,^NDX_momentum60,^STOXX50E_momentum60,AGG_volatilidad20,BIL_volatilidad20,EEM_volatilidad20,EWJ_volatilidad20,GLD_volatilidad20,HYG_volatilidad20,IWM_volatilidad20,SHY_volatilidad20,SLV_volatilidad20,TLT_volatilidad20,VNQ_volatilidad20,^GSPC_volatilidad20,^IBEX_volatilidad20,^NDX_volatilidad20,^STOXX50E_volatilidad20,AGG_volatilidad60,BIL_volatilidad60,EEM_volatilidad60,EWJ_volatilidad60,GLD_volatilidad60,HYG_volatilidad60,IWM_volatilidad60,SHY_volatilidad60,SLV_volatilidad60,TLT_volatilidad60,VNQ_volatilidad60,^GSPC_volatilidad60,^IBEX_volatilidad60,^NDX_volatilidad60,^STOXX50E_volatilidad60,mean_corr_60
2007-08-23,0.011499419660181531,0.0057766308600850635,-0.08669428091838394,-0.05917589016106106,-0.02176707823892776,0.006616098270085247,-0.010111776345916867,0.013200564768975909,-0.1155423653279336,0.013528993678389334,0.041301292701060976,-0.03381064064843786,-0.036746139733283,-0.03542214469346128,-0.028620553378664426,0.011137116062276964,0.013036645046100803,0.017469496155432696,-0.044769254995401186,0.0125467186048408,-0.04825509643324277,-0.044036483666187176,0.02247847055182839,-0.1171158740909074,0.01963981516958535,-0.1023234746774887,-0.040355766910297186,-0.04821606346856788,0.013255165545827174,-0.05121127974841522,0.0022991528854812374,0.0006106465343739199,0.02796644946278354,0.011178562163097611,0.009688639340849486,0.008095865704419402,0.018405648453470737,0.0013632914534110082,0.016731617081800976,0.005478941723176236,0.024373105531810303,0.015829573233161368,0.016852680654726074,0.01527076186830784,0.01669838550961889,0.0024152520901787864,0.0004417196344228284,0.020076831465294893,0.008088260845594388,0.008410596635385027,0.005565688190452981,0.013253356053062685,0.0010903998351253661,0.015234346320151975,0.006644093873248092,0.017943419688510348,0.011367667072796421,0.012365659270509194,0.010964344066260132,0.012321622930808667,0.23494016800314044
2007-08-24,0.009155539907593657,0.004906090024257126,-0.030623420648372646,-0.034194168803997615,-0.00445868219742962,0.026812128619933318,0.0038449885348526003,0.010216145548189282,-0.0862556170188501,0.00862989083780974,0.04251519125952463,-0.011544464363120288,-0.01479411750090498,-0.025744920485851086,-0.004008644533778027,0.014560857007926753,0.012384102052929724,0.019732230432543352,-0.04720462886915555,-0.0014994467767793784,-0.040588098643980386,-0.062334558587562316,0.022485708624650047,-0.13414699261316942,0.024931698227945387,-0.11542974769667691,-0.041682956585367026,-0.06555174552720489,0.005459447372717752,-0.061190795923828034,0.002196786209561623,0.000645966071531499,0.025770161743637686,0.010830824457275743,0.008762962567003573,0.007428655553864258,0.017604755117871174,0.0013294747641325751,0.01625456867166771,0.005221662982372582,0.02432102895484357,0.014987523308753666,0.01583963001138078,0.015074915041335664,0.015769652569046482,0.0023979825836515753,0.0004549937434584004,0.020083831208794815,0.008041017131915209,0.008251864010160911,0.005634565052398186,0.013318106154023502,0.00109028785546043,0.014945424498104659,0.006649836169823222,0.01805173148177357,0.011367123009865428,0.01224697708888831,0.010949667337030356,0.012242056971463555,0.23480440929210702
2007-08-27,0.007649158386344612,0.004253622993358519,0.006169110563652214,-0.019436223474228465,0.011446355252920593,0.04601509322936259,0.04113929728836807,0.007245294095338584,-0.05581206401643035,0.01067696588659528,0.08107111698716962,0.015982159389219097,-0.015101706630113343,0.004832757117297359,0.0009670137524310229,0.013076640994098443,0.011949019426436225,0.01860116337029849,-0.04764827534403271,-0.00298222199908571,-0.03794543761996971,-0.05446197509689621,0.021146522899997078,-0.12929426098065988,0.035104119165726866,-0.11144528945515908,-0.03388494579268431,-0.07384688634038461,0.020693207996194674,-0.06799745619051079,0.002274267461591204,0.0006523065663651671,0.026221023309869494,0.01075871598926853,0.009148268034805644,0.006096761596409787,0.016829944031605128,0.001420883044180182,0.017412206235376912,0.00529161427369245,0.022859549507977868,0.014759670994183495,0.015835712183149962,0.015128631744352082,0.01577966139244499,0.002418935072576357,0.0004582612582280353,0.02006082957919504,0.008035359131112103,0.00821209005929433,0.0056491987531390175,0.013418045694754282,0.0011220283300378546,0.015074749135794003,0.006632509581302101,0.01807145948884042,0.011462829182250953,0.012152003514047206,0.01112361378733926,0.012171224289907651,0.2344812048218541
2007-08-28,0.011184987643652389,0.0038189244008547396,-0.021986182250547492,-0.04414057198067156,0.003976339224913139,0.04283988888070844,0.009968983745327287,0.009847291572814054,-0.0866813462294509,0.018776589281115807,0.04004314915434781,-0.002775437714674589,-0.01166115956767122,-0.011317705330723848,0.002786621807866041,0.01488777282836573,0.010425058082089045,0.027638472044415163,-0.058928193454659605,-0.006453694416567735,-0.032291225974863114,-0.06933885251387495,0.022131098508804903,-0.14757979390549958,0.035783130230530036,-0.1371783704892745,-0.04423714229762443,-0.07023776428781148,0.01077471280880049,-0.06324545349496546,0.0023380602994390195,0.0006960708173719942,0.025121167183592665,0.009998593599199034,0.009088634756300317,0.005933508217831871,0.01678178203166421,0.0013850153799614695,0.01726997917013532,0.005327716260075351,0.023252865410207456,0.014723169303930458,0.01580059797768295,0.015063562794031645,0.015776892262790037,0.0024428109816225893,0.000497690994176878,0.020058358583648104,0.008067322504903735,0.008213179112417635,0.0057211450748595,0.013518095840450947,0.0011295574812338772,0.015198192405999499,0.006639976377659303,0.018233577511760347,0.011503724892541103,0.012138807549763578,0.011159595949687306,0.012166360222972903,0.23395017352297748
2007-08-29,0.012069947749315024,0.003601373505108252,-0.042172993021549865,-0.04869242206518143,-0.002238803928002353,0.03595254536160908,-0.004212093063679201,0.010826906318768481,-0.09181054870498628,0.013236576677314149,0.013432190411112432,-0.013601856410639934,-0.04459199668645153,-0.014881696943754186,-0.03183102851635067,0.021751017771654668,0.011513874563551907,-0.00954163102301575,-0.06694988701218352,-0.009809855912914278,-0.034347730740126314,-0.09054112003192671,0.025604378086440338,-0.1555808423054762,0.04376207118387021,-0.15189508672162544,-0.062363135040102935,-0.07642077012611115,-0.013287118333848325,-0.07438715560238973,0.0023971290225104675,0.0006792184867461605,0.026317361488060742,0.01011253993089129,0.009190525943684696,0.006054999043795236,0.01757539561089204,0.0014429415394951748,0.017225591813882314,0.00512303622396812,0.02434864435510536,0.015391118860913948,0.015214933221083839,0.015339210174266904,0.015606728975422259,0.002456557734798511,0.0005109227282704396,0.02074453691177374,0.00813979663819463,0.008241508501314488,0.005732704777171717,0.013866608905444099,0.0011533245927034482,0.015177335240732979,0.0065795378826829,0.018516238345491386,0.011859341638226665,0.012210406237956462,0.011615277712754645,0.012318324826232558,0.23116101070149786
2007-08-30,0.012388608670297452,0.004581428612321137,0.0013534073477980968,-0.03160092926758584,0.002951462740200528,0.04201644730105236,0.016597369863563416,0.010565588077032562,-0.08391167845054559,0.012687727061511778,0.03680516005070389,0.0010773550732170456,-0.026465136900826747,0.0076595607251388476,-0.026340340815882102,0.01933872445408924,0.011730072393864033,0.055236505388785995,-0.05340266852049769,-0.003094311279419948,-0.02911601364918104,-0.05315370533388042,0.023116129285153164,-0.13628245532805894,0.041517616755547215,-0.10852526573610011,-0.03157751196010927,-0.04704714672545063,0.025049337699144192,-0.05208124365583555,0.0023776277130295757,0.0006760231789326655,0.027910962806556278,0.010369886600930099,0.009329334044448166,0.006002772986113954,0.018518648370857198,0.001458463254654196,0.01758899869025529,0.005140409639808415,0.02551521109116328,0.016121494863481675,0.01501775911473562,0.016686882998529277,0.01568429903717506,0.002475482212395088,0.0005134326876349568,0.02110315615433085,0.008243441041735583,0.00829750114343664,0.005762136140521891,0.014261347385034802,0.001167676628870538,0.015339308690592636,0.006592829134194046,0.01918197003029578,0.01217680368336257,0.011816922853010276,0.012162570515282238,0.012176066340076895,0.2240205356667548
2007-08-31,0.015006532173761467,0.004580852876403085,-0.01480803648293827,-0.03320651088058457,-0.0005283433511633628,0.03840085162655271,0.001981156281565921,0.01093123013459718,-0.09434325122198994,0.016851118831735956,0.025424126147026826,-0.007462945831665069,-0.02299337828273018,0.001148529679885879,-0.007548513508147892,0.0283514872871784,0.012165655285093169,0.06554668177589584,-0.05580066069806999,0.01013585586364707,-0.022358356891482467,-0.03918511702831606,0.025108315537269887,-0.12585160638634618,0.0661197818126904,-0.07193097345458799,-0.018188741009008358,-0.024304513901190816,0.046668704710266184,-0.026968337605762338,0.0023843461718430895,0.0006760236760278852,0.027809847793303255,0.010403003589076316,0.00937647159535155,0.005942717123648001,0.018514641600155753,0.0014603566678687697,0.017590909254765294,0.005302705795476242,0.02529638019337169,0.016114557032495345,0.015122664124066296,0.01653031735956324,0.015933298660656,0.0022966146363899084,0.000510559685869581,0.021009652031627347,0.008265029725503147,0.00800142168818899,0.005744970720057107,0.014044513943645113,0.001152127491501127,0.01519148020182972,0.006167316703917993,0.018801605871946122,0.011980271298095788,0.011763788013622758,0.011954275483839965,0.01219810366577391,0.22680119817834926
2007-09-03,0.01123273288943738,0.004799952648313122,0.054143447077566464,0.0026152942273948154,-0.0017276863111321816,0.04743239648699904,0.046662088010242075,0.008437806364843148,-0.07879640649019315,0.010998427897606966,0.0805904208510404,0.030339788238098353,-0.0015373032339220938,0.038296984691281954,0.017726386134464756,0.030179101163131494,0.011730072275390357,0.073680846740376,-0.03881215756628886,0.03701427568709326,-0.010645953758913085,-0.04316949498259082,0.024731489793097583,-0.07546192395801254,0.06774348574583855,-0.06737444775647272,-0.01834239041756669,-0.018831478166842386,0.04659021696740473,-0.014412205641224474,0.0022264912941660727,0.0006663733235378215,0.0265205748410619,0.011212494459892185,0.009298063398947896,0.006129352633653259,0.016576972875767586,0.0013901493493233632,0.018587213914115743,0.005124382964408621,0.023671638739565935,0.015060684567815832,0.015235053990256946,0.015700484935145014,0.01580892795531367,0.0022857956137321226,0.0005134287773931201,0.021144274499301625,0.008741826116925647,0.007835151343856303,0.005862985140298604,0.013987766661820798,0.0011533847415797784,0.01530087722920814,0.006162230463376524,0.01886481933023497,0.011977749903256592,0.011836491497086692,0.011952941952662855,0.012293249744111487,0.19842805576387143
2007-09-04,0.01285392374455252,0.0037068538230877746,0.03629566588907929,-0.012331441709413249,0.0008215083524789613,0.049597950926861145,0.03763746989765371,0.009681545482285947,-0.06774243791085821,0.018277728429730855,0.04567986416037417,0.00618868225756819,0.010128446899327237,0.019631977899842168,0.024304138100934236,0.02946270966682174,0.011293732576791449,0.06511634618215445,-0.03744783435113497,0.02954003528822624,-0.008533082475266074,-0.043410300976511995,0.024606774714328483,-0.08497846669458942,0.0706079730761272,-0.05238418009676782,-0.01930410692689033,-0.022573104302876068,0.04884596844207045,-0.023008876440002823,0.0021716752327587043,0.0006368957894779611,0.026283515435895626,0.010657378117746053,0.00927998067209329,0.006063759731004101,0.01650792377288401,0.0013385796621999762,0.01852879333762938,0.004786400698574191,0.022534470040857187,0.014087124396343837,0.015177979034118208,0.015199167328751442,0.01572094273640401,0.0022865329081757316,0.0005130497348132511,0.021122805482697706,0.00874170268529012,0.007783525239494449,0.0058575060437288775,0.013987521003265092,0.0011540238025380218,0.015236487156932611,0.006141828780074611,0.018777111562997977,0.011976668527714182,0.01179973391666566,0.011946788830390215,0.01223451998319075,0.20784700262529618
2007-09-05,0.012446499078538564,0.003641764683935067,0.045707834515811174,-0.01591335648128689,0.015253245167257123,0.049427663906571384,0.03507616630755084,0.010503598643744727,-0.0637106757575907,0.019553408786980864,0.053374011057692794,0.010497537743988983,-0.0022011978880525085,0.031892161546525744,0.013293453536482258,0.03427740588267292,0.012318900065003913,0.09936548929968136,-0.030155494572906894,0.052644097270393764,0.003523604832738614,-0.014051633425105403,0.025435524302348744,-0.05227277288729715,0.08556307093211502,-0.021788487275023805,0.0018458331732408295,-0.007803454421642875,0.07076196920638766,-0.009051502590201488,0.0021868904302796205,0.0006368860848378249,0.026473486164273374,0.010713635239892008,0.009775277961981669,0.006057005501975848,0.01640725623283948,0.0013070313177903326,0.01872273246833195,0.004770822210325661,0.02265845284311153,0.014213680118264538,0.014790977354854764,0.015558411482674525,0.015303771265560378,0.0021368780488575274,0.0004938471466604336,0.021078147774521987,0.008616832022219597,0.007863292375186837,0.005891286544364388,0.013938576875207248,0.001143258810739683,0.015256249754692718,0.005788978082318831,0.018737353458141353,0.011977827910427433,0.011711102926428761,0.012071298272067137,0.012232391993422798,0.20881871916420636
