Date,AGG,BIL,EEM,EWJ,GLD,HYG,IWM,SHY,SLV,TLT,VNQ,^GSPC,^IBEX,^IRX,^NDX,^STOXX50E
2005-01-03,52.43642044067383,,14.562677383422852,30.64480972290039,43.02000045776367,,48.275020599365234,54.725494384765625,,44.88724136352539,22.788915634155273,1202.0799560546875,9124.0908203125,2.2039999961853027,1603.510009765625,
2005-01-04,52.38518524169922,,14.114311218261719,30.133586883544922,42.7400016784668,,47.24018859863281,54.604549407958984,,44.41680145263672,22.4464168548584,1188.050048828125,9119.9912109375,2.2920000553131104,1571.8299560546875,
2005-01-05,52.364681243896484,,13.941530227661133,30.10519027709961,42.66999816894531,,46.29600143432617,54.6180419921875,,44.65454864501953,21.700241088867188,1183.739990234375,9024.3916015625,2.2820000648498535,1563.760009765625,
2005-01-06,52.40057373046875,,13.932055473327637,30.10519027709961,42.150001525878906,,46.541481018066406,54.644866943359375,,44.68489456176758,21.867414474487305,1187.8900146484375,9024.3916015625,2.2669999599456787,1557.52001953125,
2005-01-07,52.38518524169922,,13.959024429321289,29.93477439880371,41.84000015258789,,46.024051666259766,54.651607513427734,,44.78609085083008,21.818485260009766,1186.18994140625,9041.0908203125,2.2769999504089355,1564.81005859375,
2005-01-10,52.35957717895508,,13.976517677307129,30.161991119384766,41.95000076293945,,46.49238204956055,54.6180419921875,,44.856876373291016,21.749177932739258,1190.25,9028.4912109375,2.2730000019073486,1564.9200439453125,
2005-01-11,52.431270599365234,,13.950278282165527,30.58800506591797,42.209999084472656,,45.925872802734375,54.631446838378906,,45.119911193847656,21.528982162475586,1182.989990234375,8966.3916015625,2.302000045776367,1553.4000244140625,
2005-01-12,52.508060455322266,,14.121604919433594,30.758403778076172,42.599998474121094,,46.11469268798828,54.63821792602539,,45.18062210083008,21.427040100097656,1187.699951171875,8945.69140625,2.2920000553131104,1565.780029296875,
2005-01-13,52.6360969543457,,14.063277244567871,30.502796173095703,42.599998474121094,,45.97494888305664,54.70537185668945,,45.61565017700195,21.427040100097656,1177.449951171875,9016.791015625,2.302000045776367,1545.1800537109375,
2005-01-14,52.446651458740234,,14.314801216125488,30.81521224975586,42.31999969482422,,46.413089752197266,54.67852783203125,,45.610591888427734,21.692073822021484,1184.52001953125,9025.0908203125,2.319999933242798,1561.1099853515625,
2005-01-17,52.446651458740234,,14.314801216125488,30.81521224975586,42.31999969482422,,46.413089752197266,54.67852783203125,,45.610591888427734,21.692073822021484,1184.52001953125,9094.3916015625,2.319999933242798,1561.1099853515625,
2005-01-18,52.584869384765625,,14.289284706115723,30.872011184692383,42.31999969482422,,46.964500427246094,54.6583137512207,,45.762359619140625,21.904117584228516,1195.97998046875,9096.8916015625,2.302000045776367,1573.489990234375,
2005-01-19,52.66170120239258,,14.092442512512207,30.30398941040039,42.2599983215332,,46.29222106933594,54.665077209472656,,45.89381408691406,21.924501419067383,1184.6300048828125,9087.5908203125,2.3269999027252197,1545.6500244140625,
2005-01-20,52.7333984375,,13.917471885681152,29.76435661315918,42.25,,46.0164909362793,54.71208190917969,,45.984893798828125,21.855180740356445,1175.4100341796875,9017.69140625,2.306999921798706,1514.56005859375,
2005-01-21,52.75897979736328,,14.107024192810059,30.0767822265625,42.7400016784668,,45.9107551574707,54.765892028808594,,46.035465240478516,21.875566482543945,1167.8699951171875,8999.3916015625,2.302000045776367,1503.6400146484375,
2005-01-24,52.76924514770508,,14.085152626037598,30.10519027709961,42.77000045776367,,45.55949020385742,54.732242584228516,,46.2327880859375,21.700241088867188,1163.75,8967.0908203125,2.3010001182556152,1480.6600341796875,
2005-01-25,52.677085876464844,,14.212735176086426,29.87796401977539,42.2400016784668,,45.67657470703125,54.71208190917969,,45.79773712158203,21.29248809814453,1168.4100341796875,9033.19140625,2.3610000610351562,1490.5699462890625,
2005-01-26,52.65147018432617,,14.420509338378906,30.36078453063965,42.689998626708984,,46.28464126586914,54.69195556640625,,45.88373565673828,21.22724723815918,1174.0699462890625,9058.0908203125,2.365000009536743,1509.010009765625,
2005-01-27,52.579803466796875,,14.434368133544922,30.161991119384766,42.619998931884766,,46.41681671142578,54.67852783203125,,45.79773712158203,21.076387405395508,1174.550048828125,9125.291015625,2.38700008392334,1507.550048828125,
2005-01-28,52.75897979736328,,14.447487831115723,30.0767822265625,42.689998626708984,,46.37907409667969,54.70537185668945,,46.258018493652344,21.108997344970703,1171.3599853515625,9139.3916015625,2.4070000648498535,1499.4599609375,
2005-01-31,52.69239807128906,,14.637762069702148,30.0767822265625,42.220001220703125,,46.922908782958984,54.6986198425293,,46.38955307006836,21.084545135498047,1181.27001953125,9223.890625,2.421999931335449,1519.6300048828125,
2005-02-01,52.74846649169922,,14.763163566589355,30.247190475463867,42.099998474121094,,47.18731689453125,54.71281433105469,,46.315956115722656,21.239486694335938,1189.4100341796875,9256.990234375,2.4619998931884766,1523.6600341796875,
2005-02-02,52.78949737548828,,14.809822082519531,30.36078453063965,42.15999984741211,,47.54609298706055,54.69258499145508,,46.42259979248047,21.47597885131836,1193.18994140625,9306.990234375,2.4579999446868896,1525.0999755859375,
2005-02-03,52.722721099853516,,14.794510841369629,29.93477439880371,41.68000030517578,,47.285484313964844,54.65890121459961,,46.3972053527832,21.54121971130371,1189.8900146484375,9310.390625,2.431999921798706,1508.239990234375,
2005-02-04,52.943572998046875,,15.025619506835938,30.04837989807129,41.470001220703125,,47.88224411010742,54.71281433105469,,47.04201889038086,21.834789276123047,1203.030029296875,9422.490234375,2.421999931335449,1534.489990234375,
