Date,AGG_momentum20,EEM_momentum20,EWJ_momentum20,GC=F_momentum20,IWM_momentum20,SHY_momentum20,SI=F_momentum20,TLT_momentum20,^GSPC_momentum20,^IBEX_momentum20,^NDX_momentum20,^RMZ_momentum20,AGG_momentum60,EEM_momentum60,EWJ_momentum60,GC=F_momentum60,IWM_momentum60,SHY_momentum60,SI=F_momentum60,TLT_momentum60,^GSPC_momentum60,^IBEX_momentum60,^NDX_momentum60,^RMZ_momentum60,AGG_volatilidad20,EEM_volatilidad20,EWJ_volatilidad20,GC=F_volatilidad20,IWM_volatilidad20,SHY_volatilidad20,SI=F_volatilidad20,TLT_volatilidad20,^GSPC_volatilidad20,^IBEX_volatilidad20,^NDX_volatilidad20,^RMZ_volatilidad20,AGG_volatilidad60,EEM_volatilidad60,EWJ_volatilidad60,GC=F_volatilidad60,IWM_volatilidad60,SHY_volatilidad60,SI=F_volatilidad60,TLT_volatilidad60,^GSPC_volatilidad60,^IBEX_volatilidad60,^NDX_volatilidad60,^RMZ_volatilidad60,mean_corr_60
2004-03-30,0.005569509118048321,-0.04012863401502875,0.0887011347046236,0.04460146203991622,-0.01447136446099806,0.0025426443076038696,0.09709301192273556,0.010691838275698529,-0.02847094594920152,-0.03203340691019485,-0.030084828673148323,0.026302456225583692,0.026406143119254488,-0.008969726553280988,0.10273840145932,-0.013445912437659135,0.03311934154036367,0.010582071593148279,0.21162432173659962,0.06653502803612288,0.0019185062092580418,0.01679286058965468,-0.03279962502336187,0.09914720706814717,0.0026329960448009332,0.012130922814694942,0.016019408870824366,0.009957531671668273,0.014798838267182472,0.000858018543375957,0.01564259723346452,0.006753590572327742,0.00981745949135173,0.015018312122328986,0.014821813492144502,0.008246786237941974,0.0025581441532642004,0.011434271138994315,0.013701236096330772,0.011450072557175504,0.01217786428845192,0.0009303378459839709,0.019295108944835517,0.006196524702086161,0.007581055415821168,0.010072825687981426,0.011835909793733683,0.007214122542021692,0.2539497259326548
2004-03-31,0.005107228965068766,-0.019912013711453236,0.0905242894477214,0.07015539619728695,0.00161976782003026,0.003389977718431525,0.14838880329451443,0.016361264117791596,-0.018492120407436197,-0.0405978194202995,-0.017123257556678095,0.028758482498656757,0.017935193472729205,0.014592170581608,0.10266298925411332,0.0013526750735826099,0.04260541124559225,0.009246200959187045,0.21813735972627168,0.054819162515026276,0.004662127952645867,0.014685927671827415,-0.03388843482955595,0.10676489907594,0.0026695540034844243,0.012447400969652501,0.015931966906067976,0.009313017791512883,0.01482386014248406,0.0008212387902177932,0.013421461085678054,0.006566094160061902,0.009829244831726406,0.014898043346509902,0.014670898089989863,0.008355738614731338,0.002562739101959807,0.011449443119027847,0.013702247312489558,0.011531492490564855,0.012214615434327376,0.0009209886590876966,0.01936929238700475,0.006061324250900022,0.007597042851136987,0.010077489417245745,0.011831015279672478,0.007286717272735574,0.24946490176679748
2004-04-01,0.011009201167725968,-0.0012973982768669234,0.09910478744789564,0.08623036173811494,0.0028157029334117123,0.004840159299874136,0.1653610730894508,0.023010970576109457,-0.020872753207875294,-0.030051128235385915,-0.017016236892736236,0.03099414526979294,0.020516230744180408,0.024662484188749167,0.11636855043855987,0.01676085109794867,0.03421632372148964,0.00924131974079756,0.250318993850128,0.055650760244244424,0.0015939525077131034,0.016131748478062757,-0.04728054910008228,0.11951878326234222,0.0028364728082293927,0.01272960389425317,0.015833004789581915,0.009433284296481943,0.01483025960236134,0.0008017980310156749,0.013786573597055244,0.006593551872278243,0.009810444609885874,0.014831927604511486,0.014669388095283793,0.008424259866630018,0.0026171662961407068,0.011553928338371327,0.013649123670337356,0.011653694276621709,0.012147254442256096,0.0009209372280220516,0.01942260260180352,0.006069432056061687,0.007591695289190349,0.010079329690299085,0.011780261377713324,0.007263981239223505,0.24855722226165433
2004-04-02,0.009060797685548017,3.21730165300238e-05,0.11217002538109844,0.08612628983821058,0.0011285756159735705,0.002784573251292999,0.18856791873247625,0.015282307572122233,-0.018916706105217895,-0.027042775927228035,-0.017135662814773855,0.036165505785829555,0.02129226098329029,0.02902946475332746,0.11918528657216965,0.012953491853093357,0.0375770266793678,0.007913729708122985,0.2742988593425051,0.052728341033704273,0.0019230125211866511,0.02233126488844528,-0.04780828096126899,0.12543708455380742,0.0028017258880925835,0.012770848461215779,0.01579927843482713,0.009435076453553322,0.014759956837998219,0.0008502430263362513,0.014233636885932375,0.006616112419125958,0.009865998109995758,0.014936980354857006,0.014664584210686038,0.008582082048236456,0.002615891193242029,0.011589218595756921,0.013675916236854236,0.011638033880443209,0.012187936394284057,0.0009375538284801254,0.019614548355869888,0.006091551015674514,0.007595439880898464,0.010147198920275114,0.011771638545224674,0.007321679152198384,0.25354632206729305
2004-04-05,-0.007470822432811164,0.006368225878598421,0.11731428646479491,0.05025410793127194,0.011565077541454638,-0.0028993028387381825,0.15658285716592912,-0.028791328522638993,-0.012125200355397658,-0.006810769572495712,0.0140303527650526,0.020844504807042585,0.0038298275779727886,0.04083029391548054,0.1355299617780128,-0.007199582345390421,0.058263082716184966,0.001981860098307031,0.23938188424387152,0.010548870724315873,0.01932525280203523,0.04591336208605079,-0.01563513164128605,0.11327393004639685,0.003077412076247987,0.012943998089408526,0.015797229696268265,0.00942829649346294,0.015024263387578455,0.0010575233789865907,0.013225281922229114,0.007400440676435299,0.010077309984888644,0.015765594833205037,0.015744541301293977,0.008901749087495756,0.0026868430978865465,0.011649834012647497,0.013633203799445014,0.011768327029285723,0.012232721114325445,0.00100206510724065,0.019186321128333912,0.006564003033727217,0.007581308864998539,0.010490222513598468,0.012224227572691825,0.007477928610582488,0.2523984176477813
2004-04-06,-0.016970072166548444,0.0229219620684471,0.12396050702060901,0.037292482186648046,0.02861493574698748,-0.0054371094820594434,0.15292069511862494,-0.04254716861072472,0.0038969493477011286,-0.00767952663869198,0.04779165229833782,-0.017384384711272127,0.0005113868065205196,0.04869600359988946,0.13194567476963082,-0.021670957546089498,0.04244713151620094,0.0004077170277634323,0.21621278236016328,0.0035124176556510234,0.022210494311747042,0.04661045177430623,-0.016210235369806036,0.07316400228813769,0.003199806718124514,0.012807702406462576,0.015669501871829968,0.010153872264074855,0.014623347104021168,0.0009913192040512408,0.013378462310487428,0.007319815651605112,0.010066137691160456,0.01575760083830893,0.015016570282156772,0.012701616589636871,0.002779568195601932,0.011676307012247608,0.013619056371375537,0.011918055867125492,0.012012134611417006,0.0010074395328641677,0.019122293179511383,0.006644196540136609,0.007619163156873138,0.010491167891165906,0.012214114057755283,0.00918542049046915,0.24038455765600159
2004-04-07,-0.015572306694384697,0.03500701058009126,0.12047956285833439,0.03673156085791218,0.02493055759269691,-0.004824854272090895,0.13809346088209307,-0.04373823366298535,0.0075729794811307816,0.0017423192503925877,0.04051910912149248,-0.05918147573055377,0.001016902868065328,0.059947429941062835,0.1427555003034161,-0.0071464093305049214,0.03448110711989516,0.00041362635552921745,0.2316415916527128,0.0021837635182194726,0.025447619084335238,0.044666214229625245,-0.01628033407055507,0.029088899035658033,0.003266994613641401,0.012711301045391032,0.015772834069569384,0.01013392051335935,0.014777287841513482,0.0010285025598425982,0.012607148611130213,0.0072491232623438885,0.00998471167470367,0.015597634740717188,0.015228594469431965,0.01568292241452088,0.0027874878404902602,0.01166038556519258,0.013454056983473616,0.011947011003485414,0.012110995428862953,0.0010075593368849129,0.019139476240651005,0.006623561148354848,0.007589507023463376,0.010492058048730258,0.012215038076298194,0.010748948653808803,0.23324808654367546
2004-04-08,-0.016861903353971974,0.05427192779919965,0.12160902709352717,0.056432569781512454,0.05345128453481407,-0.00398108055530122,0.13422921897499385,-0.04538827471945106,0.015560415410331485,0.002563816822814702,0.046631590990278915,-0.030386228477817023,-0.0013254942898723865,0.05477726199251731,0.126468433922462,0.006883994956025319,0.036851585959389865,0.001621083184193961,0.253524439274215,-0.005043605032628573,0.010507619681803138,0.04220884773301581,-0.030159488341166885,0.04101682410583429,0.0032873714556386742,0.011411958407042183,0.015713741169385276,0.009835931730884621,0.013868098609274472,0.0010302168123993204,0.012736229997592939,0.0072402277150009865,0.009500684731286022,0.015600548695147844,0.01495112064211577,0.01613899917729195,0.002805457782750386,0.01167513005764347,0.013518186659289767,0.011992646638887487,0.012130106044062039,0.0009998271967817053,0.018784443654961607,0.006598984551405256,0.007571971944109651,0.010483819945746235,0.012223766369925759,0.010942776073431795,0.22571820109111637
2004-04-12,-0.018481820670500304,0.07674119999343776,0.13758469500503545,0.04782351849711153,0.054604893822202016,-0.004825449616939648,0.12061716444717685,-0.04971884804661675,0.0297233289601172,0.035818560204444516,0.05982078550323089,-0.03760119742074619,-0.0019987673191308453,0.07603168176916097,0.12911208981332778,0.03156402547103487,0.02537442752736896,0.0017417030190203242,0.2750970204035339,-0.011694970724027254,0.008093251243361577,0.05630513878817056,-0.026414671113024535,0.023973157089955177,0.003227692437228205,0.00989351617257929,0.014660382084963152,0.0100708708839958,0.013814662969764593,0.001002124840875907,0.013382611785000418,0.007188226073079957,0.008742781584785976,0.014900728746440502,0.014629130868270402,0.0164613160378507,0.0028015869417208398,0.011334278838850085,0.01349161081740112,0.011291297285567848,0.012189032686036182,0.0009996465606381397,0.01824313147664748,0.00658927129950067,0.007572019534941648,0.01056599602431906,0.012228929455867395,0.011233585163953603,0.22537424017817687
2004-04-13,-0.0157107666579388,0.07607628734745764,0.1366344289523287,0.061776328246698986,0.03026412577950255,-0.00507253273664221,0.13129930588051963,-0.0471573396079118,0.0224248146367233,0.04565533936980559,0.046010769332370804,-0.10003314888960513,-0.0015175693985675087,0.07944607799771408,0.13463026823852564,0.03620289935878429,0.022414546956727954,0.001497337793893494,0.24882003994609014,-0.008271199400486151,0.006381823268307274,0.053540378946307365,-0.03350585795483785,-0.019243726514555637,0.0031902333274439307,0.009878595005635501,0.014610208269558316,0.009372907605941895,0.012586860154077456,0.0010098644220744135,0.012556366575284757,0.007141903565615608,0.008406499097139142,0.014657077263191702,0.014057847906372458,0.019440993832285435,0.002800117054624308,0.011358252521451069,0.013602801195805939,0.011274518325527618,0.012173857866138758,0.0010032633722409955,0.018210111779256626,0.006543772262755907,0.0075493988148296245,0.010563924667233287,0.012119747065772154,0.013008233125492043,0.22578756618369347
