Date,AGG,EEM,EWJ,GC=F,IWM,SHY,SI=F,TLT,^GSPC,^IBEX,^NDX,^RMZ
2004-01-05,0.001181965780852945,0.03508721056332309,0.02061826644361453,0.0,0.011698010731466368,0.0001213499261243367,0.0,-0.0026057361797282574,0.012395343602475073,0.004086676078818741,0.022554446303931774,0.0001367447994438109
2004-01-06,0.004523042282713163,-0.011299403976745337,-0.009090637253930334,-0.0037700427109474965,-0.0013241892897344343,0.0012153918592450186,0.013316249919290257,0.011042137542309538,0.0012921470656763745,0.0,0.0031271658370162214,0.0019836765732557105
2004-01-07,0.002252206509292032,0.0023328198530343514,-0.008154980441368531,-0.0021286516614684725,0.010605396811113721,0.0007290243220976489,-0.010291332707012657,0.00399377525897715,0.002367164741738481,0.0002907570428347661,0.008659392720405279,-0.005256450252885236
2004-01-08,-0.00029326642067839526,0.003781133324773034,0.008222030942896197,0.004977497354576643,0.007608099544447189,0.00012053800527511704,0.0015997806747378718,-0.00035090034346962895,0.0049630997209786365,0.0037529519211225715,0.01082377830936343,0.0032769471677873696
2004-01-09,0.008304971408497064,-0.0017968852096840182,-0.008154980441368531,0.00566036296340644,-0.007984694688448757,0.0024261228636126564,0.035777027873534095,0.017435278881797522,-0.008887605310606284,-0.0023667224876808834,-0.006657343817351946,0.002462364195270794
2004-01-12,-0.002810565088145145,-0.0008708471687050023,0.0071943203900990405,-0.00023453589340316494,0.018722510703850004,0.0006045900950579775,0.018504222527139902,-0.000805292091023535,0.004786689236896846,0.0012618945732680853,0.012700142779059842,0.0006823793696122404
2004-01-13,0.002332850770171202,-0.005694524646458143,-0.015306302195119414,-0.006098934225633124,-0.004207495724338983,0.001209009429657737,-0.0027252272268024624,0.006790629775913493,-0.00533166245554062,0.001449349832569613,-0.009735213729475278,0.0020285746331720755
2004-01-14,-9.712542391437928e-05,0.0015779228542676105,0.007254102960045694,-0.004720320845831738,0.005174380739890072,-0.0009659836747361039,-0.025049334223255615,0.004916264861485775,0.008294580074499347,0.00402707526799384,0.006099192394394715,0.005018649256194774
2004-01-15,0.0012599116439195868,-0.020422502347973492,-0.0072018599266341354,-0.03153905128183232,0.002573740875422059,-0.00012061983482636318,-0.03379009809242861,0.003754344969177703,0.0013533854071061668,-0.002607176439972436,-0.0013493079554901533,-0.0020989745647592706
2004-01-16,-0.0007746820782570385,0.004288752215716007,0.015544226828343444,-0.004162540927667102,0.005562865222641156,-0.0007253457322716761,0.018855778313522586,-0.007026819444480581,0.0068724057161748675,0.002764759841863196,0.014105642400383811,-0.007718226145641216
2004-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004637003170254728,0.0,0.0
2004-01-20,-0.0008722210380013307,0.029062786015872533,0.004081272318221529,0.014752888664644859,0.011999727367722368,0.0004837981198466679,-0.001107239710986252,-0.00022881452045753203,-0.0009299075864844797,-0.00354277315513174,-0.00048274352953558974,-0.0006153911646606947
2004-01-21,0.0006793853305731012,0.001325708518739921,0.0010165648537059369,-0.0038769228402953937,-0.0013453676574679552,0.0006052076130875772,-0.01821064875903411,0.0023976832240208967,0.0077715214083178275,0.008012126752881876,-0.004037697650779104,0.002292172369691814
2004-01-22,0.0017446300558987549,-0.0025326676398471637,0.008121795440098944,-0.0026757628002531675,-0.005641644248745359,0.0007242430317313531,0.022903258505275526,0.007289012869774458,-0.003206683158706869,0.006135192174490323,-0.01046161379544519,0.003003685858791627
