Date,AGG,BIL,BNDX,BTC-USD,EEM,ETH-USD,FTSEMIB.MI,GLD,HYG,SHY,SLV,TLT,URTH,USO,VNQ,^AEX,^FCHI,^FTSE,^GDAXI,^GSPC,^IBEX,^NDX,^SSMI,^STOXX50E
2017-11-09,86.97512817382812,75.17501068115234,41.99150848388672,7143.580078125,38.13945007324219,320.8840026855469,22641.0,122.12999725341797,56.46794509887695,70.8104476928711,16.06999969482422,100.56273651123047,73.94032287597656,91.68000030517578,61.4583740234375,550.3699951171875,5407.75,7484.10009765625,13182.5595703125,2584.6201171875,10141.099609375,6312.2099609375,9177.8203125,3612.5
2017-11-10,86.62542724609375,75.19145202636719,41.91502380371094,6618.14013671875,37.97536849975586,299.25299072265625,22561.0,121.12999725341797,56.59140396118164,70.78521728515625,15.949999809265137,99.04629516601562,73.92315673828125,91.36000061035156,61.52357482910156,547.3200073242188,5380.72021484375,7433.0,13127.4697265625,2582.300048828125,10092.7001953125,6309.06982421875,9134.16015625,3593.760009765625
2017-11-11,86.62542724609375,75.19145202636719,41.91502380371094,6357.60009765625,37.97536849975586,314.6809997558594,22561.0,121.12999725341797,56.59140396118164,70.78521728515625,15.949999809265137,99.04629516601562,73.92315673828125,91.36000061035156,61.52357482910156,547.3200073242188,5380.72021484375,7433.0,13127.4697265625,2582.300048828125,10092.7001953125,6309.06982421875,9134.16015625,3593.760009765625
2017-11-12,86.62542724609375,75.19145202636719,41.91502380371094,5950.06982421875,37.97536849975586,307.9079895019531,22561.0,121.12999725341797,56.59140396118164,70.78521728515625,15.949999809265137,99.04629516601562,73.92315673828125,91.36000061035156,61.52357482910156,547.3200073242188,5380.72021484375,7433.0,13127.4697265625,2582.300048828125,10092.7001953125,6309.06982421875,9134.16015625,3593.760009765625
2017-11-13,86.62542724609375,75.19145202636719,41.922672271728516,6559.490234375,37.89333724975586,316.71600341796875,22438.0,121.30999755859375,56.55242919921875,70.77680969238281,16.09000015258789,99.25379943847656,73.77693939208984,91.04000091552734,61.835052490234375,545.4299926757812,5341.6298828125,7415.2001953125,13074.419921875,2584.840087890625,10049.900390625,6316.18017578125,9162.740234375,3574.52001953125
2017-11-14,86.71281433105469,75.19145202636719,41.97623062133789,6635.75,37.63901138305664,337.6310119628906,22297.0,121.55999755859375,56.31204605102539,70.79360961914062,16.079999923706055,99.92425537109375,73.61354064941406,89.04000091552734,61.704654693603516,541.72998046875,5315.580078125,7414.39990234375,13033.48046875,2578.8701171875,9990.400390625,6293.64013671875,9130.48046875,3556.3798828125
2017-11-15,86.87974548339844,75.19145202636719,42.037391662597656,7315.5400390625,37.44213104248047,333.35699462890625,22159.0,121.41000366210938,56.31204605102539,70.76840209960938,16.030000686645508,101.0096664428711,73.32117462158203,88.72000122070312,61.0816764831543,538.489990234375,5301.25,7372.60009765625,12976.3701171875,2564.6201171875,10013.900390625,6258.35986328125,9089.5498046875,3545.719970703125
2017-11-16,86.78434753417969,75.20791625976562,42.029762268066406,7871.68994140625,38.22148895263672,330.92401123046875,22207.0,121.4000015258789,56.8642463684082,70.77680969238281,16.1200008392334,100.1317138671875,73.94032287597656,88.55999755859375,61.588748931884766,539.1900024414062,5336.39013671875,7386.89990234375,13047.2197265625,2585.639892578125,10088.7001953125,6339.14013671875,9146.8203125,3564.800048828125
2017-11-17,86.87974548339844,75.19145202636719,42.037391662597656,7708.990234375,38.41017150878906,332.3940124511719,22093.0,122.86000061035156,56.82528305053711,70.73473358154297,16.309999465942383,100.87398529052734,73.7683334350586,90.80000305175781,61.32072448730469,536.6199951171875,5319.169921875,7380.7001953125,12993.73046875,2578.85009765625,10010.400390625,6314.509765625,9183.6103515625,3547.4599609375
2017-11-18,86.87974548339844,75.19145202636719,42.037391662597656,7790.14990234375,38.41017150878906,347.61199951171875,22093.0,122.86000061035156,56.82528305053711,70.73473358154297,16.309999465942383,100.87398529052734,73.7683334350586,90.80000305175781,61.32072448730469,536.6199951171875,5319.169921875,7380.7001953125,12993.73046875,2578.85009765625,10010.400390625,6314.509765625,9183.6103515625,3547.4599609375
2017-11-19,86.87974548339844,75.19145202636719,42.037391662597656,8036.490234375,38.41017150878906,354.385986328125,22093.0,122.86000061035156,56.82528305053711,70.73473358154297,16.309999465942383,100.87398529052734,73.7683334350586,90.80000305175781,61.32072448730469,536.6199951171875,5319.169921875,7380.7001953125,12993.73046875,2578.85009765625,10010.400390625,6314.509765625,9183.6103515625,3547.4599609375
2017-11-20,86.83206176757812,75.20791625976562,42.060333251953125,8200.6396484375,38.60706329345703,366.7300109863281,22189.0,121.30999755859375,56.83828353881836,70.7094955444336,15.979999542236328,100.83411407470703,73.8801498413086,90.23999786376953,61.139617919921875,539.7100219726562,5340.4501953125,7389.5,13058.66015625,2582.139892578125,10025.5,6308.60986328125,9299.6103515625,3561.409912109375
2017-11-21,86.91950225830078,75.22435760498047,42.09856414794922,8071.259765625,39.123905181884766,360.4010009765625,22326.0,121.51000213623047,56.95522689819336,70.6926498413086,16.010000228881836,101.15333557128906,74.34452819824219,91.19999694824219,61.59600830078125,541.8200073242188,5366.14990234375,7411.2998046875,13167.5400390625,2599.030029296875,9993.400390625,6378.6298828125,9324.5302734375,3579.320068359375
